name,artist,album,release_date,image_url,preview_url,spotify_url
Komet,Udo Lindenberg,Komet,2023-01-19,https://i.scdn.co/image/ab67616d0000b2738945d66b89a2fefd8e6b2181,https://p.scdn.co/mp3-preview/be3632b680b450b8be70b7b8fe5e6806a0d81d85?cid=00b324ec6add40fe8f44b0c2fb1ea471,https://open.spotify.com/track/7oQepKHmXDaPC3rgeLRvQu
Flowers,Miley Cyrus,Flowers,2023-01-13,https://i.scdn.co/image/ab67616d0000b273f429549123dbe8552764ba1d,https://p.scdn.co/mp3-preview/f2857681239dee871da7055d2f725ea6dcd1b4d8?cid=00b324ec6add40fe8f44b0c2fb1ea471,https://open.spotify.com/track/0yLdNVWF3Srea0uzk55zFn
Abziehen,Bonez MC,Abziehen,2023-03-02,https://i.scdn.co/image/ab67616d0000b27304060dbcfa56352252e451d5,,https://open.spotify.com/track/42MbpTDZWKc8uAJDhHcvQO
Sie weiß (feat. Mero),AYLIVA,Sie weiß (feat. Mero),2023-01-06,https://i.scdn.co/image/ab67616d0000b273e9a48bf583d23ef54caa967c,https://p.scdn.co/mp3-preview/0584b0e874a086289ec19fdaabff5fd231ded6ce?cid=00b324ec6add40fe8f44b0c2fb1ea471,https://open.spotify.com/track/7DyDjhZMEIK5Ied4juTCyc
Vergessen wie,Peter Fox,Vergessen wie,2023-03-03,https://i.scdn.co/image/ab67616d0000b27333bf0f60a3ec3bfa825153fa,https://p.scdn.co/mp3-preview/e746edbdff5f2a144b12682c0e45f86b26494324?cid=00b324ec6add40fe8f44b0c2fb1ea471,https://open.spotify.com/track/28yd3NLXZkDi5p9segSvcf
LOVE MY LIFE,Ufo361,LOVE MY LIFE,2023-03-03,https://i.scdn.co/image/ab67616d0000b2739da175bba73d020fbc19de65,https://p.scdn.co/mp3-preview/2fc81ce9ef1e467d09f9b9360c16d1b63c2ecf01?cid=00b324ec6add40fe8f44b0c2fb1ea471,https://open.spotify.com/track/1j6qr4E0seSdc6cq5pL6JD
PUR AUF ICE,AK AUSSERKONTROLLE,PUR AUF ICE,2023-03-02,https://i.scdn.co/image/ab67616d0000b2730ae142f96f570eaf5c56356b,,https://open.spotify.com/track/5uxrX6IKC5cQHeaZnzgm6k
Mangos mit Chili,Nina Chuba,Glas,2023-02-24,https://i.scdn.co/image/ab67616d0000b2739ac00fcabc982b2e03987247,https://p.scdn.co/mp3-preview/1c92263d1e96b49d0576b706a688951dd71a28f3?cid=00b324ec6add40fe8f44b0c2fb1ea471,https://open.spotify.com/track/7AyE8MRf4dIK75mqqpks9S
Hallow Kitty,Kwam.E,Hallow Kitty,2023-03-03,https://i.scdn.co/image/ab67616d0000b2730bf2bf52d66dbfd6edf21cf9,https://p.scdn.co/mp3-preview/0a4ebc62250f0e90396e3c33c04afd6ce6d5a773?cid=00b324ec6add40fe8f44b0c2fb1ea471,https://open.spotify.com/track/3YONiGJ9VB9KvpXEHgLMjF
MOMMA,Ufo361,LOVE MY LIFE,2023-03-03,https://i.scdn.co/image/ab67616d0000b2739da175bba73d020fbc19de65,https://p.scdn.co/mp3-preview/2d3f6af6a503ea2d2afd719440838baaf3537f94?cid=00b324ec6add40fe8f44b0c2fb1ea471,https://open.spotify.com/track/2vvL12gufp1dCbgv4N9S1J
